,Celebrity_Name
0,Aamir Khan
1,Akshay Kumar
2,Ajay Devgn
3,Amjad Khan
4,Amitabh Bachchan
5,Amol Palekar
6,Abhay Deol
7,Akshaye Khanna
8,Arshad Warsi
9,Anushka Shetty
10,Atul Kulkarni
11,Asrani
12,Ayushmann Khurrana
13,Aruna Irani
14,Annu Kapoor
15,Ashish Vidyarthi
16,Adil Hussain
17,Anupam Kher
18,Anil Kapoor
19,Amrish Puri
20,Amole Gupte
21,Boman Irani
22,Balraj Sahni
23,Binnu Dhillon
24,Bharat Bhushan
25,Chiranjeevi
26,Chunky Pandey
27,Danny Denzongpa
28,Darsheel Safary
29,Deepak Tijori
30,Dharmendra
31,Deepika Padukone
32,Dimple Kapadia
33,Dev Anand
34,Deepti Naval
35,Dilip Kumar
36,Farooq Shaikh
37,Farhan Akhtar
38,Feroz Khan
39,Farida Jalal
40,Guru Dutt
41,Govinda
42,Gulshan Grover
43,Gurpreet Ghuggi
44,Girish Karnad
45,Hrithik Roshan
46,Huma Qureshi
47,Inaamulhaq
48,Irrfan Khan
49,Jackie Shroff
50,Jimmy Sheirgill
51,Jeetendra
52,Jaspal Bhatti
53,Johnny Lever
54,Jaswinder Bhalla
55,Kamal Haasan
56,Kangana Ranaut
58,Kader Khan
59,Kay Kay Menon
60,Kajol
61,Kulbhushan Kharbanda
62,Kalki Koechlin
63,Kapil Sharma
64,Krishna Abhishek
65,Karuna Bannerjee
66,Kanwaljit Singh
67,Lara Dutta
68,Manjot Singh
70,Mehmood
71,Mukesh Tiwari
72,Mammootty
73,Makrand Deshpande
74,Madhavan
75,Mohanlal
76,Mita Vasisht
77,Manoj Bajpayee
78,Manoj Joshi
79,Madhuri Dixit
80,Mohnish Bahl
81,Mithun Chakraborty
82,Mukesh Khanna
83,Mukul Dev
84,Madhubala
85,Meena Kumari
86,Mala Sinha
87,Manoj Pahwa
88,Manoj Kumar
89,Nassar
90,Naseeruddin Shah
91,Nandita Das
92,Nagarjuna Akkineni
93,Nana Patekar
94,Nawazuddin Siddiqui
95,Nargis
96,Nirupa Roy
97,Nutan
98,Neeraj Kabi
99,Navin Nischol
100,Nafisa Ali
101,Om Puri
102,Om Prakash
103,Pankaj Tripathi
104,Pran
105,Paresh Rawal
106,Priyanka Chopra
107,Prakash Raj
108,Prabhas
109,Pankaj Kapur
110,Prabhu Deva
111,Prem Chopra
112,Pooja Bhatt
113,Pavan Malhotra
114,Piyush Mishra
115,Prashant Narayanan
116,Rahul Dev
117,Rahul Bose
118,Rekha
119,Ratna Pathak Shah
120,Rajendra Kumar
121,Rajat Kapoor
122,Ranbir Kapoor
123,Raghuvir Yadav
124,Rajkummar Rao
125,Revathy
126,Raaj Kumar
127,Ramya Krishnan
128,Rajinikanth
129,Rani Mukerji
130,Ranveer Singh
131,Rishi Kapoor
132,Rajesh Khanna
133,Raghuvaran
134,Raj Babbar
135,Raj Kapoor
136,Rajit Kapoor
137,Radhika Apte
138,Rakhee Gulzar
139,Riteish Deshmukh
140,Ranvir Shorey
141,Richa Chadha
142,Rajpal Yadav
143,Raju Srivastava
144,Randeep Hooda
145,Sanjay Mishra
146,Shabana Azmi
147,Shakti Kapoor
148,Saif Ali Khan
149,Shah Rukh Khan
150,Sunil Dutt
151,Sharman Joshi
152,Shashi Kapoor
153,Smita Patil
154,Surekha Sikri
155,Sharman Joshi
156,Shashank Arora
157,Shreyas Talpade
158,Shernaz Patel
159,Seema Biswas
160,Sachin Khedekar
161,Sunny Deol
162,Sudesh Lehri
163,Soumitra Chatterjee
164,Saeed Jaffrey
165,Shivaji Ganesan
166,Sharmila Tagore
167,Sheeba Chaddha
168,Sridevi
169,Salman Khan
170,Saurabh Shukla
171,Sanjay Dutt
172,Sanjeev Kumar
173,Sudeep
174,Sunil Shetty
175,Tiger Shroff
176,Tom Alter
177,Tinnu Anand
178,Tabu
179,Tigmanshu Dhulia
180,Usha Nadkarni
181,Upasna Singh
182,Utpal Dutt
183,Upendra Limaye
184,Varun Dhawan
185,Venkatesh Daggubati
186,Vijay Raaz
187,Vinay Pathak
188,Vishal Malik
189,Vikram Gokhale
190,Vipin Sharma
191,Vinod Khanna
192,Vyjayanthimala
193,Vidya Balan
194,Vrajesh Hirjee
195,Waheeda Rehman
196,Yashpal Sharma
197,Zeenat Aman
198,Zohra Sehgal
199,Zarina Wahab
