,Customer_Name,Celebrity_des,Image
0,Aamir Khan,"eval(ez_write_tag([[728,90],'celebrities_galore_com-box-3','ezslot_4',162,'0','0']));“ I do what I feel is right. I am not scared to walk on the new path and take risk.”Aamir Khan is an Indian film actor, director and producer who has established himself as one of the most popular and influential actors of Indian cinema, and was honoured by the Government of India with the Padma Shri in 2003 and the Padma Bhushan in 2010.He was born on Sunday March 14th 1965, in Mumbai, Maharashtra, India.Aamir Khan radiates with a dynamic and efficient energy. He appears controlled and capable. Aamir values courage and effort in the face of difficulties and these qualities show. Others can sense that he will not be pushed around.Aamir should dress in a dignified and correct manner, caring for the details of his appearance. While he may spend most of his time in staid business dress or suits, bright and cheerful colors work well for him. Khan is fashionable, but has his own style.Aamir Khan's appearance suffers more than most people when he is overweight. Overweight directly contradicts the type of personality Aamir is trying to project. Straight lines and square corners accent his good physique and enhance his appearance as a leader.Khan is recognized as a pioneer; he has his own ideas of how to do things. He is a risk-taker, original and highly creative.Aamir Khan should be wary of appearing too aggressive or unreceptive. He can intimidate people if he does not soften his exterior somewhat. By doing this, Aamir will attract less confident people who will be more willing to approach him with their thoughts and suggestions.eval(ez_write_tag([[300,250],'celebrities_galore_com-medrectangle-4','ezslot_3',154,'0','0']));Khan's Personality number often serves as a censoring device, both in terms of what Aamir sends out, as well as what he allows to approach.It discriminates in the kinds of people and information Aamir Khan lets enter his heart and mind.Read more about our numerological interpretation of Aamir Khan's personality number . . .",https://www.celebrities-galore.com/celebrities-photos/aamir-khan.jpg
1,Akshay Kumar,"eval(ez_write_tag([[728,90],'celebrities_galore_com-box-3','ezslot_4',162,'0','0']));“ Journalists ask me all the time, 'Akshay, do you believe in the numbers game?' My standard response: 'I can't count, that's why I have producers and accountants who calculate for me. As long as I have them in my life, I don't need to worry about numbers!'”Akshay Kumar is an Indian actor, producer and martial artist who has appeared in over a hundred Hindi films, primarily action ones, and has been nominated for Filmfare Awards several times, winning it twice.He was born on Saturday September 9th 1967, in Amritsar, Punjab, India.Akshay Kumar radiates understanding and compassion. People sense his warmth and fairness. For this reason, Akshay attracts many people who are in need of comfort, including the disadvantaged. People tend to come to him to unload their burdens. Kumar inspires confidence.Akshay Kumar has a fine sense of justice. He does everything in his power to keep the harmony and is even willing to sacrifice his personal desires for the good of others.Akshay can take this too far, however, sometimes playing the role of the martyr. He has to guard against being taken advantage of. Kumar is not always a very good judge of character. He tends to see the best in others. He can also become too involved in the lives of others, to his own detriment. (This aspect can be balanced by other numbers in Akshay's chart.)Akshay Kumar is hospitable and domestic. He loves children and is a good parent. He is romantic, faithful and very protective.He is artistic. Akshay Kumar loves music, flowers and gardening. He is a natural interior designer, and has an excellent sense of color and taste.eval(ez_write_tag([[300,250],'celebrities_galore_com-medrectangle-4','ezslot_3',154,'0','0']));Akshay is more concerned with the content of his personality than his appearance, which causes him to be less conscious of the style of his clothes. He is more interested in comfort and the utility of clothing than the statement it makes.Six Personality Numbers are exceedingly generous. Akshay Kumar is not particularly logical when it comes to finances.He is very vulnerable to praise and criticism. He also tends to worry a lot, causing stomach problems.People see Akshay Kumar as a maternal or paternal figure. They want to relax in his presence and unburden themselves. Akshay is the safe port in the crowd.Kumar's Personality number often serves as a censoring device, both in terms of what Akshay sends out, as well as what he allows to approach.It discriminates in the kinds of people and information Akshay Kumar lets enter his heart and mind.Read more about our numerological interpretation of Akshay Kumar's personality number . . .",https://www.celebrities-galore.com/celebrities-photos/akshay-kumar.jpg
2,Ajay Devgn,"Sorry, but the page you are trying to view does not exist.Please refine your celebrity-search above or go back home.",NONE
3,Amjad Khan,"Amjad Khan is a male celebrity.He was born on Tuesday November 12th 1940, in Hyderabad, India,.eval(ez_write_tag([[728,90],'celebrities_galore_com-box-3','ezslot_4',162,'0','0']));Amjad Khan radiates understanding and compassion. People sense his warmth and fairness. For this reason, Amjad attracts many people who are in need of comfort, including the disadvantaged. People tend to come to him to unload their burdens. Khan inspires confidence.Amjad Khan has a fine sense of justice. He does everything in his power to keep the harmony and is even willing to sacrifice his personal desires for the good of others.Amjad can take this too far, however, sometimes playing the role of the martyr. He has to guard against being taken advantage of. Khan is not always a very good judge of character. He tends to see the best in others. He can also become too involved in the lives of others, to his own detriment. (This aspect can be balanced by other numbers in Amjad's chart.)Amjad Khan is hospitable and domestic. He loves children and is a good parent. He is romantic, faithful and very protective.He is artistic. Amjad Khan loves music, flowers and gardening. He is a natural interior designer, and has an excellent sense of color and taste.Amjad is more concerned with the content of his personality than his appearance, which causes him to be less conscious of the style of his clothes. He is more interested in comfort and the utility of clothing than the statement it makes.eval(ez_write_tag([[300,250],'celebrities_galore_com-medrectangle-4','ezslot_3',154,'0','0']));Six Personality Numbers are exceedingly generous. Amjad Khan is not particularly logical when it comes to finances.He is very vulnerable to praise and criticism. He also tends to worry a lot, causing stomach problems.People see Amjad Khan as a maternal or paternal figure. They want to relax in his presence and unburden themselves. Amjad is the safe port in the crowd.Khan's Personality number often serves as a censoring device, both in terms of what Amjad sends out, as well as what he allows to approach.It discriminates in the kinds of people and information Amjad Khan lets enter his heart and mind.Read more about our numerological interpretation of Amjad Khan's personality number . . .",NONE
4,Amitabh Bachchan,"eval(ez_write_tag([[728,90],'celebrities_galore_com-box-3','ezslot_4',162,'0','0']));“ I have never been a superstar and never believed in it.”Amitabh Bachchan is Indian film actor who is widely regarded as one of the greatest and most influential actors in the history of Indian cinema, to the point where the French director François Truffaut called him a ""one-man industry.He was born on Sunday October 11th 1942, in Allahabad, United Provinces, British India, India.Amitabh Bachchan has an impressive and aristocratic bearing. No matter how tall he is, Amitabh appears noble and upright. He is very much in control of the image he sends out to others.Many actors, dancers, and other performers have a 9 Personality number. Bachchan is elegant, graceful, and charismatic. Many admire him.Amitabh Bachchan has the kind of stature that pulls people to him or repels them intensely. Some are jealous of Amitabh and may seek to belittle him.Amitabh may encourage this to some extent by the amount of arrogance he radiates. This is a caution for all 9 Personalities - they are sometimes aloof and hold themselves above the world. Bachchan's challenge is to come down to earth with his fellow man.Conversely, Amitabh Bachchan has a great compassion for humanity and he wants to dedicate himself to improving the lot of others. He is better when dealing with the trials of the many than the trouble of a single person. Amitabh is more capable of working on the grand scale, addressing the needs of society, than on a one-to-one basis.eval(ez_write_tag([[300,250],'celebrities_galore_com-medrectangle-4','ezslot_3',154,'0','0']));Bachchan is kind and sympathetic, helpful and compassionate. Behind the controlled and calm facade, he is sensitive, vulnerable and emotional.Amitabh Bachchan has excellent taste. There is a good deal of artistic talent in him that shows in his home environment and his clothing.Amitabh Bachchan tends to see himself as a guardian of society, a benevolent leader, guiding and directing his community toward a better world.Bachchan's Personality number often serves as a censoring device, both in terms of what Amitabh sends out, as well as what he allows to approach.It discriminates in the kinds of people and information Amitabh Bachchan lets enter his heart and mind.Read more about our numerological interpretation of Amitabh Bachchan's personality number . . .",https://www.celebrities-galore.com/celebrities-photos/amitabh-bachchan.jpg
5,Amol Palekar,"Amol Palekar is a Bollywood Actor and Director.He was born on Friday November 24th 1944, in Bombay, Maharashtra, India,.eval(ez_write_tag([[728,90],'celebrities_galore_com-box-3','ezslot_4',162,'0','0']));Amol Palekar radiates with a dynamic and efficient energy. He appears controlled and capable. Amol values courage and effort in the face of difficulties and these qualities show. Others can sense that he will not be pushed around.Amol should dress in a dignified and correct manner, caring for the details of his appearance. While he may spend most of his time in staid business dress or suits, bright and cheerful colors work well for him. Palekar is fashionable, but has his own style.Amol Palekar's appearance suffers more than most people when he is overweight. Overweight directly contradicts the type of personality Amol is trying to project. Straight lines and square corners accent his good physique and enhance his appearance as a leader.Palekar is recognized as a pioneer; he has his own ideas of how to do things. He is a risk-taker, original and highly creative.Amol Palekar should be wary of appearing too aggressive or unreceptive. He can intimidate people if he does not soften his exterior somewhat. By doing this, Amol will attract less confident people who will be more willing to approach him with their thoughts and suggestions.Palekar's Personality number often serves as a censoring device, both in terms of what Amol sends out, as well as what he allows to approach.eval(ez_write_tag([[300,250],'celebrities_galore_com-medrectangle-4','ezslot_3',154,'0','0']));It discriminates in the kinds of people and information Amol Palekar lets enter his heart and mind.Read more about our numerological interpretation of Amol Palekar's personality number . . .",NONE
6,Abhay Deol,"Abhay Deol is a male celebrity.He was born on Monday March 15th 1976, in Chandigarh, Punjab, India,.eval(ez_write_tag([[728,90],'celebrities_galore_com-box-3','ezslot_4',162,'0','0']));Abhay Deol radiates understanding and compassion. People sense his warmth and fairness. For this reason, Abhay attracts many people who are in need of comfort, including the disadvantaged. People tend to come to him to unload their burdens. Deol inspires confidence.Abhay Deol has a fine sense of justice. He does everything in his power to keep the harmony and is even willing to sacrifice his personal desires for the good of others.Abhay can take this too far, however, sometimes playing the role of the martyr. He has to guard against being taken advantage of. Deol is not always a very good judge of character. He tends to see the best in others. He can also become too involved in the lives of others, to his own detriment. (This aspect can be balanced by other numbers in Abhay's chart.)Abhay Deol is hospitable and domestic. He loves children and is a good parent. He is romantic, faithful and very protective.He is artistic. Abhay Deol loves music, flowers and gardening. He is a natural interior designer, and has an excellent sense of color and taste.Abhay is more concerned with the content of his personality than his appearance, which causes him to be less conscious of the style of his clothes. He is more interested in comfort and the utility of clothing than the statement it makes.eval(ez_write_tag([[300,250],'celebrities_galore_com-medrectangle-4','ezslot_3',154,'0','0']));Six Personality Numbers are exceedingly generous. Abhay Deol is not particularly logical when it comes to finances.He is very vulnerable to praise and criticism. He also tends to worry a lot, causing stomach problems.People see Abhay Deol as a maternal or paternal figure. They want to relax in his presence and unburden themselves. Abhay is the safe port in the crowd.Deol's Personality number often serves as a censoring device, both in terms of what Abhay sends out, as well as what he allows to approach.It discriminates in the kinds of people and information Abhay Deol lets enter his heart and mind.Read more about our numerological interpretation of Abhay Deol's personality number . . .",NONE
7,Akshaye Khanna,"Akshaye Khanna is a Bollywood Actor.He was born on Friday March 28th 1975, in Bombay, Maharashtra, India,.eval(ez_write_tag([[728,90],'celebrities_galore_com-box-3','ezslot_4',162,'0','0']));Akshaye Khanna has worked hard to gain confidence and overcome, at least to some extend, an in-born shyness. As a child, and into his early twenties, nervous energy may have caused Akshaye to bite his nails or express his nervousness in other ways.He is extremely sensitive and intuitive. Khanna is vulnerable and he needs to be more careful than most people when he chooses friends. Akshaye Khanna seems an easy prey to predatory individuals. He will probably find himself the victim of a con man or con woman more than once in his life.In the eyes of most people, Akshaye is perceived as gentle; a safe harbor. People are drawn to him because, among other reasons, he radiates warmth and he is unthreatening. Khanna's dress is neat and clean. His clothing should be comfortable, soft, and flowing. Akshaye should avoid plain and understated clothes, and make an effort to be a little more daring and exciting in his appearance. This will balance nicely with Akshaye Khanna's perceptive and open personality. The opposite sex is attracted to his gentle and attentive nature, yet senses the passion beneath his surface. Khanna has sex appeal. Exercise is important to his appearance and to promote a level of strength he radiates.Akshaye Khanna is very patient and understanding, and a wonderful listener. He makes others feel important and loved. Akshaye is sensitive and becomes tense in a disharmonious atmosphere. He has experienced quite a bit of negative criticism as a child, which made Khanna shy growing up. Though he may be well past that shyness, a bit of the vulnerability has remained with Akshaye Khanna and is often sensed by others.Akshaye is a peacemaker. Arguments leave him drained. People sense Akshaye's desire for harmony, but he must avoid being the blank tablet for others' projections. People may underestimate his strength, but this is a mistake. Khanna is strong. He bends, but does not break.Akshaye Khanna has a fine sense of beauty and excellent taste. There is a grace in his movements, reflecting his keen sense of harmony and refinement.eval(ez_write_tag([[300,250],'celebrities_galore_com-medrectangle-4','ezslot_3',154,'0','0']));Khanna's Personality number often serves as a censoring device, both in terms of what Akshaye sends out, as well as what he allows to approach.It discriminates in the kinds of people and information Akshaye Khanna lets enter his heart and mind.Read more about our numerological interpretation of Akshaye Khanna's personality number . . .",NONE
8,Arshad Warsi,"Arshad Warsi is a Bollywood Actor.He was born on Friday April 19th 1968, in India,.eval(ez_write_tag([[728,90],'celebrities_galore_com-box-3','ezslot_4',162,'0','0']));Arshad Warsi radiates with a dynamic and efficient energy. He appears controlled and capable. Arshad values courage and effort in the face of difficulties and these qualities show. Others can sense that he will not be pushed around.Arshad should dress in a dignified and correct manner, caring for the details of his appearance. While he may spend most of his time in staid business dress or suits, bright and cheerful colors work well for him. Warsi is fashionable, but has his own style.Arshad Warsi's appearance suffers more than most people when he is overweight. Overweight directly contradicts the type of personality Arshad is trying to project. Straight lines and square corners accent his good physique and enhance his appearance as a leader.Warsi is recognized as a pioneer; he has his own ideas of how to do things. He is a risk-taker, original and highly creative.Arshad Warsi should be wary of appearing too aggressive or unreceptive. He can intimidate people if he does not soften his exterior somewhat. By doing this, Arshad will attract less confident people who will be more willing to approach him with their thoughts and suggestions.Warsi's Personality number often serves as a censoring device, both in terms of what Arshad sends out, as well as what he allows to approach.eval(ez_write_tag([[300,250],'celebrities_galore_com-medrectangle-4','ezslot_3',154,'0','0']));It discriminates in the kinds of people and information Arshad Warsi lets enter his heart and mind.Read more about our numerological interpretation of Arshad Warsi's personality number . . .",NONE
9,Anushka Shetty,"Sorry, but the page you are trying to view does not exist.Please refine your celebrity-search above or go back home.",NONE
